DESCR,SKU,QTD FATURADA
TABLE TENT HARMONIZAÇÃO SALGADO 10 UNI,145560,"16,00"
VERTUO POP TANQUE DE AGUA,97393,"16,00"
SPARE WATER TANK,E116357,"16,00"
Identificador de Xícara Ristreto Intenso,145564,"16,00"
PIXIE D62 BR DARK NESPRESSO 110V,D62-BR-BL-NE,"16,00"
VIEW Set of 12 Recipe Glasses (in bulk),3739/BULK,"15,00"
VERTUO POP WHITE 110V,GCV2-BR-WH-NE,"15,00"
PORTA INSUMOS M - MADEIRA,145540,"15,00"
2 VIEW ESPRESSO CUPS AND SAUCERS,3730/2/O,"15,00"
Cappuccinattore Kit (100) 2019,"5105,01","15,00"
PORTA INSUMOS GG,130805,"14,00"
VERTUO NEXT GCV1 BR MATT BLACK NESPRESSO,GCV1-BR-MB-NE,"14,00"
VERTUO POP YELLOW 110V,GDV2-BR-YE-NE,"14,00"
RECYCLABE LID FOR CUP 360-600 ML,5129,"14,00"
Essenza Mini - Drip grid (C range),96006,"14,00"
Pixie - Capsule container,62592,"14,00"
VERTUO POP TAMPA DO TANQUE AGUA,97392,"13,00"
TESTEIRA BLACK ZENIUS OFFICES,145526,"13,00"
New Lattissima One Black 110V,F121-BR-BK-NE,"13,00"
CITIZ SILVER C113 220V,C113-BR3-SI-NE2,"13,00"
Citiz Silver C113 110V,C113-BR-SI-NE2,"13,00"
Pixie - Cup support,62616,"13,00"
New Lattíssima One White 110V,F121-BR-WH-NE,"12,00"
VERTUO POP YELLOW 220V,GDV2-BR3-YE-NE,"12,00"
Essenza Mini - Cup support (C range),96002,"12,00"
Aero 3 Refresh - Lid,93271,"12,00"
VERTUO POP BANDEJA GOTEJAMENTO,97390,"11,00"
TABLE TENT HARMONIZAÇÃO DOCE 10 UNI,145561,"11,00"
Barista Cappuccino Kit,123940,"11,00"
Aero3 BRB standalone milk device Red,3594-BRB-RE,"11,00"
VERTICAL CARD,126840,"11,00"
New Lattíssima One White 220V,F121-BR3-WH-NE,"11,00"
TESTEIRA BLACK DOUBLE MILK OFFICE,145529,"11,00"
DRIP GRID C,96665,"11,00"
INSTRUÇÃO DE USO MOMENTO MILK 10 UNI,145550,"11,00"
Pixie - Drip grid,67869,"11,00"
U - Water tank (w/o lid),93939,"11,00"
Expert - Capsule container,96137,"11,00"
Bandeja de cápsulas,E66204,"10,00"
VERTUO NEXT DARK CHROME,GCV1-BR3-ME-NE,"10,00"
VERTUO CREATISTA 110V,GCV5-BR-ME-NE,"10,00"
CitiZ Cherry Red C113 110V,C113-BR-CR-NE2,"10,00"
Vertuo Next Dark Chrome - 110V,GCV1-BR-ME-NE,"10,00"
WATER TANK ASSY,96662,"10,00"
VERTUO POP SUPORTE XICARA,97385,"10,00"
Costa Rica,"7221,1","10,00"
Essenza Mini - Drip tray (C range),96001,"10,00"
BC VANILLA,"7253,1","10,00"
Capriccio : roast and ground coffee,"7589,1","10,00"
Double Expresso Dolce,"7219,1","10,00"
INIZIO,"7220,1","10,00"
VOLTESSO,"7217,1","10,00"
MO MEXICO,"7210,1","10,00"
DHARKAN LE,"7790,1","10,00"
"2 VERTUO Gran Lungo Cups, 2 Spoons",3723/2,"9,00"
VERTUO POP RED 220V,GCV2-BR3-RE-NE,"9,00"
CREATISTA Water Tank Assembly 10Pc X,95930,"9,00"
Aero 3 Refresh - Lid,95624,"9,00"
Essenza Mini - Capsule container (C rang,95999,"9,00"
"6 VIEW Spoon, Medium",3784,"9,00"
VERTUO POP AQUA 110V,GCV2-BR-AQ-NE,"8,00"
VERTUO POP GCV2 BR3 PANTONE,GCV2-BR3-PA-NE,"8,00"
VERTUO CREATISTA 220V,GCV5-BR3-ME-NE,"8,00"
New Lattissima One Black 220V,F121-BR3-BK-NE,"8,00"
VERTUO POP WHITE 220V,GCV2-BR3-WH-NE,"8,00"
Lattissima Touch Facelift Silver 220V,F521-BR3-SI-NE,"8,00"
Aero 3 Refresh - Whisks,95625,"8,00"
Essenza Mini - Drip grid (D range),96011,"8,00"
Essenza Mini - Cup support (D range),96008,"8,00"
Pixie - Drip tray,67946,"8,00"
Caran Dache Set Of Pencils,114927,"7,00"
VERTUO POP DELUXE MATTE BLACK NESPRESSO 220V,GCV6-BR3-MB-NE,"7,00"
VERTUO POP CONTAINER DE CAPSULAS,97391,"7,00"
Barista Maquina de Receitas 110V,4292-BRB,"7,00"
CITIZ White D113 220V,D113-BR3-WH-NE2,"7,00"
Aero Plus - Whisks,13192/6,"7,00"
Suporte da xícara superior,93126,"7,00"
Circular Coffee Mug 16 Pç,3430,"7,00"
VIEW Set of 12 Lungo cups (in bulk),3736/BULK,"6,00"
CitiZ White D113 110V,D113-BR-WH-NE2,"6,00"
VIEW Set of 12 Big Saucers (in bulk),3741/BULK,"6,00"
ATELIER MILK FROTHER,96924,"6,00"
CUP SUPPORT PLASTIC,96656,"6,00"
Nº 20 VL Capsule Set R80,140531,"5,00"
CitiZ Cherry Red C113 220V,C113-BR3-CR-NE2,"5,00"
NOMAD TRAVEL MUG. L LATTE,123754,"5,00"
NOMAD G LID,142620,"5,00"
VERTUO POP BLUE 110V,GDV2-BR-BL-NE,"5,00"
TABLE TENT PORCELINE 10 UNI,145559,"5,00"
NOMAD Travel Mug Midnight Blue,132076,"4,00"
VERTUO POP DELUXE GCV6 MATTE BLACK NESPRESSO 110V,GCV6-BR-MB-NE,"4,00"
Professional Small Saucer (12),5313/12,"4,00"
Barista Maquina de Receitas 220V,4292-BRA,"4,00"
NESPRS Shopping Bg S Corp N20 250 PC,114368,"4,00"
Identificador de Xícara Vanilio,145575,"4,00"
Aero3 Refresh BRA standalone Red,3594-BRA-RE,"4,00"
Lattissima Touch Facelift Black 220V,F521-BR3-BK-NE,"4,00"
Identificador de Café Ristretto Intenso Kit,122847,"4,00"
TABLE TENT - RECEITA COM LEITE,145562,"4,00"
INSTRUÇÃO DE USO COFFEE 10 UNI,145549,"4,00"
Latt One - Complete milk tank (with lid),96125,"4,00"
VIEW Iced Kit Summer 2020,3755,"4,00"
Cabo de alimentacao (ZENIUS),95622,"4,00"
NESPRESSO/DESCALING KIT SET 2 PÇ,5048-2,"3,00"
IMÃ AGUILA,136980,"3,00"
DRIP GRID D,96666,"3,00"
GUIA BOAS VINDAS,145547,"3,00"
